cidade,uf,nome_completo
Além Paraíba,MG,Além Paraíba - MG
Amajari,RR,Amajari - RR
Amambai,MS,Amambai - MS
Amaporã,PR,Amaporã - PR
Amapá,AP,Amapá - AP
Amapá do Maranhão,MA,Amapá do Maranhão - MA
Amaraji,PE,Amaraji - PE
Amaral Ferrador,RS,Amaral Ferrador - RS
Amaralina,GO,Amaralina - GO
Amarante,PI,Amarante - PI
Amarante do Maranhão,MA,Amarante do Maranhão - MA
Amargosa,BA,Amargosa - BA
Amaturá,AM,Amaturá - AM
Americana,SP,Americana - SP
Americano do Brasil,GO,Americano do Brasil - GO
Ametista do Sul,RS,Ametista do Sul - RS
Amontada,CE,Amontada - CE
Amorinópolis,GO,Amorinópolis - GO
Amparo,PB,Amparo - PB
Amparo,SP,Amparo - SP
Amparo do Serra,MG,Amparo do Serra - MG
Amparo do São Francisco,SE,Amparo do São Francisco - SE
Ampére,PR,Ampére - PR
Amélia Rodrigues,BA,Amélia Rodrigues - BA
América Dourada,BA,América Dourada - BA
Américo Brasiliense,SP,Américo Brasiliense - SP
Américo de Campos,SP,Américo de Campos - SP
Anadia,AL,Anadia - AL
Anagé,BA,Anagé - BA
Anahy,PR,Anahy - PR
Anajatuba,MA,Anajatuba - MA
Anajás,PA,Anajás - PA
Analândia,SP,Analândia - SP
Anamã,AM,Anamã - AM
Ananindeua,PA,Ananindeua - PA
Ananás,TO,Ananás - TO
Anapu,PA,Anapu - PA
Anapurus,MA,Anapurus - MA
Anastácio,MS,Anastácio - MS
Anaurilândia,MS,Anaurilândia - MS
Anchieta,ES,Anchieta - ES
Anchieta,SC,Anchieta - SC
Andaraí,BA,Andaraí - BA
Andirá,PR,Andirá - PR
Andorinha,BA,Andorinha - BA
Andradas,MG,Andradas - MG
Andradina,SP,Andradina - SP
Andrelândia,MG,Andrelândia - MG
André da Rocha,RS,André da Rocha - RS
Angatuba,SP,Angatuba - SP
Angelim,PE,Angelim - PE
Angelina,SC,Angelina - SC
Angelândia,MG,Angelândia - MG
Angical,BA,Angical - BA
Angical do Piauí,PI,Angical do Piauí - PI
Angico,TO,Angico - TO
Angicos,RN,Angicos - RN
Angra dos Reis,RJ,Angra dos Reis - RJ
Anguera,BA,Anguera - BA
Angélica,MS,Angélica - MS
Anhanguera,GO,Anhanguera - GO
Anhembi,SP,Anhembi - SP
Anhumas,SP,Anhumas - SP
Anicuns,GO,Anicuns - GO
Anita Garibaldi,SC,Anita Garibaldi - SC
Anitápolis,SC,Anitápolis - SC
Anori,AM,Anori - AM
Anta Gorda,RS,Anta Gorda - RS
Antas,BA,Antas - BA
Antonina,PR,Antonina - PR
Antonina do Norte,CE,Antonina do Norte - CE
Antônio Almeida,PI,Antônio Almeida - PI
Antônio Cardoso,BA,Antônio Cardoso - BA
Antônio Carlos,MG,Antônio Carlos - MG
Antônio Carlos,SC,Antônio Carlos - SC
Antônio Dias,MG,Antônio Dias - MG
Antônio Gonçalves,BA,Antônio Gonçalves - BA
Antônio João,MS,Antônio João - MS
Antônio Martins,RN,Antônio Martins - RN
Antônio Olinto,PR,Antônio Olinto - PR
Antônio Prado,RS,Antônio Prado - RS
Antônio Prado de Minas,MG,Antônio Prado de Minas - MG
Anápolis,GO,Anápolis - GO
Anísio de Abreu,PI,Anísio de Abreu - PI
Aparecida,PB,Aparecida - PB
Aparecida,SP,Aparecida - SP
Aparecida d'Oeste,SP,Aparecida d'Oeste - SP
Aparecida de Goiânia,GO,Aparecida de Goiânia - GO
Aparecida do Rio Doce,GO,Aparecida do Rio Doce - GO
Aparecida do Rio Negro,TO,Aparecida do Rio Negro - TO
Aparecida do Taboado,MS,Aparecida do Taboado - MS
Aperibé,RJ,Aperibé - RJ
Apiacá,ES,Apiacá - ES
Apiacás,MT,Apiacás - MT
Apiaí,SP,Apiaí - SP
Apicum-Açu,MA,Apicum-Açu - MA
Apiúna,SC,Apiúna - SC
Apodi,RN,Apodi - RN
Aporá,BA,Aporá - BA
Aporé,GO,Aporé - GO
Apuarema,BA,Apuarema - BA
Apucarana,PR,Apucarana - PR
Apuiarés,CE,Apuiarés - CE
Apuí,AM,Apuí - AM
Aquidabã,SE,Aquidabã - SE
Aquidauana,MS,Aquidauana - MS
Aquiraz,CE,Aquiraz - CE
Arabutã,SC,Arabutã - SC
Aracaju,SE,Aracaju - SE
Aracati,CE,Aracati - CE
Aracatu,BA,Aracatu - BA
Araci,BA,Araci - BA
Aracitaba,MG,Aracitaba - MG
Aracoiaba,CE,Aracoiaba - CE
Aracruz,ES,Aracruz - ES
Aragarças,GO,Aragarças - GO
Aragoiânia,GO,Aragoiânia - GO
Aragominas,TO,Aragominas - TO
Araguacema,TO,Araguacema - TO
Araguaiana,MT,Araguaiana - MT
Araguainha,MT,Araguainha - MT
Araguanã,MA,Araguanã - MA
Araguanã,TO,Araguanã - TO
Araguapaz,GO,Araguapaz - GO
Araguari,MG,Araguari - MG
Araguatins,TO,Araguatins - TO
Araguaçu,TO,Araguaçu - TO
Araguaína,TO,Araguaína - TO
Araioses,MA,Araioses - MA
Aral Moreira,MS,Aral Moreira - MS
Aramari,BA,Aramari - BA
Arambaré,RS,Arambaré - RS
Arame,MA,Arame - MA
Aramina,SP,Aramina - SP
Arandu,SP,Arandu - SP
Arantina,MG,Arantina - MG
Arapeí,SP,Arapeí - SP
Arapiraca,AL,Arapiraca - AL
Arapoema,TO,Arapoema - TO
Araponga,MG,Araponga - MG
Arapongas,PR,Arapongas - PR
Araporã,MG,Araporã - MG
Arapoti,PR,Arapoti - PR
Araputanga,MT,Araputanga - MT
Arapuá,MG,Arapuá - MG
Arapuã,PR,Arapuã - PR
Araquari,SC,Araquari - SC
Arara,PB,Arara - PB
Araranguá,SC,Araranguá - SC
Araraquara,SP,Araraquara - SP
Araras,SP,Araras - SP
Ararendá,CE,Ararendá - CE
Arari,MA,Arari - MA
Araricá,RS,Araricá - RS
Araripe,CE,Araripe - CE
Araripina,PE,Araripina - PE
Araruama,RJ,Araruama - RJ
Araruna,PB,Araruna - PB
Araruna,PR,Araruna - PR
Arataca,BA,Arataca - BA
Aratiba,RS,Aratiba - RS
Aratuba,CE,Aratuba - CE
Aratuípe,BA,Aratuípe - BA
Araucária,PR,Araucária - PR
Arauá,SE,Arauá - SE
Araxá,MG,Araxá - MG
Araçagi,PB,Araçagi - PB
Araçariguama,SP,Araçariguama - SP
Araçatuba,SP,Araçatuba - SP
Araçaí,MG,Araçaí - MG
Araçoiaba,PE,Araçoiaba - PE
Araçoiaba da Serra,SP,Araçoiaba da Serra - SP
Araçu,GO,Araçu - GO
Araçuaí,MG,Araçuaí - MG
Araçás,BA,Araçás - BA
Araújos,MG,Araújos - MG
Arceburgo,MG,Arceburgo - MG
Arco-Íris,SP,Arco-Íris - SP
Arcos,MG,Arcos - MG
Arcoverde,PE,Arcoverde - PE
Areado,MG,Areado - MG
Areal,RJ,Areal - RJ
Arealva,SP,Arealva - SP
Areia,PB,Areia - PB
Areia Branca,RN,Areia Branca - RN
Areia Branca,SE,Areia Branca - SE
Areia de Baraúnas,PB,Areia de Baraúnas - PB
Areial,PB,Areial - PB
Areias,SP,Areias - SP
Areiópolis,SP,Areiópolis - SP
Arenápolis,MT,Arenápolis - MT
Arenópolis,GO,Arenópolis - GO
Arez,RN,Arez - RN
Argirita,MG,Argirita - MG
Aricanduva,MG,Aricanduva - MG
Arinos,MG,Arinos - MG
Aripuanã,MT,Aripuanã - MT
Ariquemes,RO,Ariquemes - RO
Ariranha,SP,Ariranha - SP
Ariranha do Ivaí,PR,Ariranha do Ivaí - PR
Armazém,SC,Armazém - SC
Armação dos Búzios,RJ,Armação dos Búzios - RJ
Arneiroz,CE,Arneiroz - CE
Aroazes,PI,Aroazes - PI
Aroeiras,PB,Aroeiras - PB
Aroeiras do Itaim,PI,Aroeiras do Itaim - PI
Arraial,PI,Arraial - PI
Arraial do Cabo,RJ,Arraial do Cabo - RJ
Arraias,TO,Arraias - TO
Arroio do Meio,RS,Arroio do Meio - RS
Arroio do Padre,RS,Arroio do Padre - RS
Arroio do Sal,RS,Arroio do Sal - RS
Arroio do Tigre,RS,Arroio do Tigre - RS
Arroio dos Ratos,RS,Arroio dos Ratos - RS
Arroio Grande,RS,Arroio Grande - RS
Arroio Trinta,SC,Arroio Trinta - SC
Artur Nogueira,SP,Artur Nogueira - SP
Aruanã,GO,Aruanã - GO
Arujá,SP,Arujá - SP
Arvoredo,SC,Arvoredo - SC
Arvorezinha,RS,Arvorezinha - RS
Ascurra,SC,Ascurra - SC
Aspásia,SP,Aspásia - SP
Assaré,CE,Assaré - CE
Assaí,PR,Assaí - PR
Assis,SP,Assis - SP
Assis Brasil,AC,Assis Brasil - AC
Assis Chateaubriand,PR,Assis Chateaubriand - PR
Assunção,PB,Assunção - PB
Assunção do Piauí,PI,Assunção do Piauí - PI
Assú,RN,Assú - RN
Astolfo Dutra,MG,Astolfo Dutra - MG
Astorga,PR,Astorga - PR
Atalaia,AL,Atalaia - AL
Atalaia,PR,Atalaia - PR
Atalaia do Norte,AM,Atalaia do Norte - AM
Atalanta,SC,Atalanta - SC
Ataléia,MG,Ataléia - MG
Atibaia,SP,Atibaia - SP
Atílio Vivácqua,ES,Atílio Vivácqua - ES
Augustinópolis,TO,Augustinópolis - TO
Augusto Corrêa,PA,Augusto Corrêa - PA
Augusto de Lima,MG,Augusto de Lima - MG
Augusto Pestana,RS,Augusto Pestana - RS
Aurelino Leal,BA,Aurelino Leal - BA
Auriflama,SP,Auriflama - SP
Aurilândia,GO,Aurilândia - GO
Aurora,CE,Aurora - CE
Aurora,SC,Aurora - SC
Aurora do Pará,PA,Aurora do Pará - PA
Aurora do Tocantins,TO,Aurora do Tocantins - TO
Autazes,AM,Autazes - AM
Avanhandava,SP,Avanhandava - SP
Avaré,SP,Avaré - SP
Avaí,SP,Avaí - SP
Aveiro,PA,Aveiro - PA
Avelino Lopes,PI,Avelino Lopes - PI
Avelinópolis,GO,Avelinópolis - GO
Axixá,MA,Axixá - MA
Axixá do Tocantins,TO,Axixá do Tocantins - TO
Açailândia,MA,Açailândia - MA
Açucena,MG,Açucena - MG
Babaçulândia,TO,Babaçulândia - TO
Bacabal,MA,Bacabal - MA
Bacabeira,MA,Bacabeira - MA
Bacuri,MA,Bacuri - MA
Bacurituba,MA,Bacurituba - MA
Bady Bassitt,SP,Bady Bassitt - SP
Baependi,MG,Baependi - MG
Bagre,PA,Bagre - PA
Bagé,RS,Bagé - RS
Baianópolis,BA,Baianópolis - BA
Baixa Grande,BA,Baixa Grande - BA
Baixa Grande do Ribeiro,PI,Baixa Grande do Ribeiro - PI
Baixio,CE,Baixio - CE
Baixo Guandu,ES,Baixo Guandu - ES
Baião,PA,Baião - PA
Balbinos,SP,Balbinos - SP
Baldim,MG,Baldim - MG
Baliza,GO,Baliza - GO
Balneário Arroio do Silva,SC,Balneário Arroio do Silva - SC
Balneário Barra do Sul,SC,Balneário Barra do Sul - SC
Balneário Camboriú,SC,Balneário Camboriú - SC
Balneário Gaivota,SC,Balneário Gaivota - SC
Balneário Pinhal,RS,Balneário Pinhal - RS
Balneário Piçarras,SC,Balneário Piçarras - SC
Balneário Rincão,SC,Balneário Rincão - SC
Balsa Nova,PR,Balsa Nova - PR
Balsas,MA,Balsas - MA
Bambuí,MG,Bambuí - MG
Banabuiú,CE,Banabuiú - CE
Bananal,SP,Bananal - SP
Bananeiras,PB,Bananeiras - PB
Bandeira,MG,Bandeira - MG
Bandeira do Sul,MG,Bandeira do Sul - MG
Bandeirante,SC,Bandeirante - SC
Bandeirantes,MS,Bandeirantes - MS
Bandeirantes,PR,Bandeirantes - PR
Bandeirantes do Tocantins,TO,Bandeirantes do Tocantins - TO
Bannach,PA,Bannach - PA
Banzaê,BA,Banzaê - BA
Baraúna,PB,Baraúna - PB
Baraúna,RN,Baraúna - RN
Barbacena,MG,Barbacena - MG
Barbalha,CE,Barbalha - CE
Barbosa,SP,Barbosa - SP
Barbosa Ferraz,PR,Barbosa Ferraz - PR
Barcarena,PA,Barcarena - PA
Barcelona,RN,Barcelona - RN
Barcelos,AM,Barcelos - AM
Bariri,SP,Bariri - SP
Barra,BA,Barra - BA
Barra Bonita,SC,Barra Bonita - SC
Barra Bonita,SP,Barra Bonita - SP
Barra D'Alcântara,PI,Barra D'Alcântara - PI
Barra da Estiva,BA,Barra da Estiva - BA
Barra de Guabiraba,PE,Barra de Guabiraba - PE
Barra de Santa Rosa,PB,Barra de Santa Rosa - PB
Barra de Santana,PB,Barra de Santana - PB
Barra de Santo Antônio,AL,Barra de Santo Antônio - AL
Barra de São Francisco,ES,Barra de São Francisco - ES
Barra de São Miguel,AL,Barra de São Miguel - AL
Barra de São Miguel,PB,Barra de São Miguel - PB
Barra do Bugres,MT,Barra do Bugres - MT
Barra do Chapéu,SP,Barra do Chapéu - SP
Barra do Choça,BA,Barra do Choça - BA
Barra do Corda,MA,Barra do Corda - MA
Barra do Garças,MT,Barra do Garças - MT
Barra do Guarita,RS,Barra do Guarita - RS
Barra do Jacaré,PR,Barra do Jacaré - PR
Barra do Mendes,BA,Barra do Mendes - BA
Barra do Ouro,TO,Barra do Ouro - TO
Barra do Piraí,RJ,Barra do Piraí - RJ
Barra do Quaraí,RS,Barra do Quaraí - RS
Barra do Ribeiro,RS,Barra do Ribeiro - RS
Barra do Rio Azul,RS,Barra do Rio Azul - RS
Barra do Rocha,BA,Barra do Rocha - BA
Barra do Turvo,SP,Barra do Turvo - SP
Barra dos Coqueiros,SE,Barra dos Coqueiros - SE
Barra Funda,RS,Barra Funda - RS
Barra Longa,MG,Barra Longa - MG
Barra Mansa,RJ,Barra Mansa - RJ
Barra Velha,SC,Barra Velha - SC
Barracão,PR,Barracão - PR
Barracão,RS,Barracão - RS
Barras,PI,Barras - PI
Barreira,CE,Barreira - CE
Barreiras,BA,Barreiras - BA
Barreiras do Piauí,PI,Barreiras do Piauí - PI
Barreirinha,AM,Barreirinha - AM
Barreirinhas,MA,Barreirinhas - MA
Barreiros,PE,Barreiros - PE
Barretos,SP,Barretos - SP
Barrinha,SP,Barrinha - SP
Barro,CE,Barro - CE
Barro Alto,BA,Barro Alto - BA
Barro Alto,GO,Barro Alto - GO
Barro Duro,PI,Barro Duro - PI
Barro Preto,BA,Barro Preto - BA
Barrocas,BA,Barrocas - BA
Barrolândia,TO,Barrolândia - TO
Barroquinha,CE,Barroquinha - CE
Barros Cassal,RS,Barros Cassal - RS
Barroso,MG,Barroso - MG
Barueri,SP,Barueri - SP
Barão,RS,Barão - RS
Barão de Antonina,SP,Barão de Antonina - SP
Barão de Cocais,MG,Barão de Cocais - MG
Barão de Cotegipe,RS,Barão de Cotegipe - RS
Barão de Grajaú,MA,Barão de Grajaú - MA
Barão de Melgaço,MT,Barão de Melgaço - MT
Barão do Monte Alto,MG,Barão do Monte Alto - MG
Barão do Triunfo,RS,Barão do Triunfo - RS
Bastos,SP,Bastos - SP
Bataguassu,MS,Bataguassu - MS
Batalha,AL,Batalha - AL
Batalha,PI,Batalha - PI
Batatais,SP,Batatais - SP
Batayporã,MS,Batayporã - MS
Baturité,CE,Baturité - CE
Bauru,SP,Bauru - SP
Bayeux,PB,Bayeux - PB
Baía da Traição,PB,Baía da Traição - PB
Baía Formosa,RN,Baía Formosa - RN
Bebedouro,SP,Bebedouro - SP
Beberibe,CE,Beberibe - CE
Bela Cruz,CE,Bela Cruz - CE
Bela Vista,MS,Bela Vista - MS
Bela Vista da Caroba,PR,Bela Vista da Caroba - PR
Bela Vista de Goiás,GO,Bela Vista de Goiás - GO
Bela Vista de Minas,MG,Bela Vista de Minas - MG
Bela Vista do Maranhão,MA,Bela Vista do Maranhão - MA
Bela Vista do Paraíso,PR,Bela Vista do Paraíso - PR
Bela Vista do Piauí,PI,Bela Vista do Piauí - PI
Bela Vista do Toldo,SC,Bela Vista do Toldo - SC
Belford Roxo,RJ,Belford Roxo - RJ
Belmiro Braga,MG,Belmiro Braga - MG
Belmonte,BA,Belmonte - BA
Belmonte,SC,Belmonte - SC
Belo Campo,BA,Belo Campo - BA
Belo Horizonte,MG,Belo Horizonte - MG
Belo Jardim,PE,Belo Jardim - PE
Belo Monte,AL,Belo Monte - AL
Belo Oriente,MG,Belo Oriente - MG
Belo Vale,MG,Belo Vale - MG
Belterra,PA,Belterra - PA
Belágua,MA,Belágua - MA
Belém,AL,Belém - AL
Belém,PA,Belém - PA
Belém,PB,Belém - PB
Belém de Maria,PE,Belém de Maria - PE
Belém do Brejo do Cruz,PB,Belém do Brejo do Cruz - PB
Belém do Piauí,PI,Belém do Piauí - PI
Belém do São Francisco,PE,Belém do São Francisco - PE
Beneditinos,PI,Beneditinos - PI
Benedito Leite,MA,Benedito Leite - MA
Benedito Novo,SC,Benedito Novo - SC
Benevides,PA,Benevides - PA
Benjamin Constant,AM,Benjamin Constant - AM
Benjamin Constant do Sul,RS,Benjamin Constant do Sul - RS
Bento de Abreu,SP,Bento de Abreu - SP
Bento Fernandes,RN,Bento Fernandes - RN
Bento Gonçalves,RS,Bento Gonçalves - RS
Bequimão,MA,Bequimão - MA
Berilo,MG,Berilo - MG
Berizal,MG,Berizal - MG
Bernardino Batista,PB,Bernardino Batista - PB
Bernardino de Campos,SP,Bernardino de Campos - SP
Bernardo do Mearim,MA,Bernardo do Mearim - MA
Bernardo Sayão,TO,Bernardo Sayão - TO
Bertioga,SP,Bertioga - SP
Bertolínia,PI,Bertolínia - PI
Bertópolis,MG,Bertópolis - MG
Beruri,AM,Beruri - AM
Betim,MG,Betim - MG
Betânia,PE,Betânia - PE
Betânia do Piauí,PI,Betânia do Piauí - PI
Bezerros,PE,Bezerros - PE
Bias Fortes,MG,Bias Fortes - MG
Bicas,MG,Bicas - MG
Biguaçu,SC,Biguaçu - SC
Bilac,SP,Bilac - SP
Biquinhas,MG,Biquinhas - MG
Birigui,SP,Birigui - SP
Biritiba Mirim,SP,Biritiba Mirim - SP
Biritinga,BA,Biritinga - BA
Bituruna,PR,Bituruna - PR
Blumenau,SC,Blumenau - SC
Boa Esperança,ES,Boa Esperança - ES
Boa Esperança,MG,Boa Esperança - MG
Boa Esperança,PR,Boa Esperança - PR
Boa Esperança do Iguaçu,PR,Boa Esperança do Iguaçu - PR
Boa Esperança do Norte,MT,Boa Esperança do Norte - MT
Boa Esperança do Sul,SP,Boa Esperança do Sul - SP
Boa Hora,PI,Boa Hora - PI
Boa Nova,BA,Boa Nova - BA
Boa Ventura,PB,Boa Ventura - PB
Boa Ventura de São Roque,PR,Boa Ventura de São Roque - PR
Boa Viagem,CE,Boa Viagem - CE
Boa Vista,PB,Boa Vista - PB
Boa Vista,RR,Boa Vista - RR
Boa Vista da Aparecida,PR,Boa Vista da Aparecida - PR
Boa Vista das Missões,RS,Boa Vista das Missões - RS
Boa Vista do Buricá,RS,Boa Vista do Buricá - RS
Boa Vista do Cadeado,RS,Boa Vista do Cadeado - RS
Boa Vista do Gurupi,MA,Boa Vista do Gurupi - MA
Boa Vista do Incra,RS,Boa Vista do Incra - RS
Boa Vista do Ramos,AM,Boa Vista do Ramos - AM
Boa Vista do Sul,RS,Boa Vista do Sul - RS
Boa Vista do Tupim,BA,Boa Vista do Tupim - BA
Boca da Mata,AL,Boca da Mata - AL
Boca do Acre,AM,Boca do Acre - AM
Bocaina,PI,Bocaina - PI
Bocaina,SP,Bocaina - SP
